Timestamp,Gmtoffset,Datetime,Open,High,Low,Close,Volume
1641220200,0,"2022-01-03 14:30:00",177.830001,179.309997,177.710006,178.964996,4441780
1641220500,0,"2022-01-03 14:35:00",178.970001,180.399993,178.919998,180.330001,2482136
1641220800,0,"2022-01-03 14:40:00",180.330001,180.839996,180.210006,180.595001,2219825
1641221100,0,"2022-01-03 14:45:00",180.600006,180.75,179.470001,179.940002,2018163
1641221400,0,"2022-01-03 14:50:00",179.929992,180.229904,179.399993,180.210006,1944837
1641221700,0,"2022-01-03 14:55:00",180.219894,180.929992,179.919998,180.449996,2401204
1641222000,0,"2022-01-03 15:00:00",180.460006,181.350006,180.271301,181.080001,2484522
1641222300,0,"2022-01-03 15:05:00",181.080001,181.419998,180.830001,181.179992,1867915
1641222600,0,"2022-01-03 15:10:00",181.199996,181.429992,180.919998,181.229904,1718700
1641222900,0,"2022-01-03 15:15:00",181.225006,181.259994,180.770004,180.835006,1220626
1641223200,0,"2022-01-03 15:20:00",180.830001,180.830001,180.490005,180.710098,1260993
1641223500,0,"2022-01-03 15:25:00",180.697998,181.039993,180.550003,180.839996,1109618
1641223800,0,"2022-01-03 15:30:00",180.850006,181.119995,180.570007,180.969894,1452776
1641224100,0,"2022-01-03 15:35:00",180.960006,181.080001,180.800003,180.910003,720351
1641224400,0,"2022-01-03 15:40:00",180.896499,181.210006,180.679992,180.779998,1487222
1641224700,0,"2022-01-03 15:45:00",180.774993,181.230102,180.759994,181.020004,863664
1641225000,0,"2022-01-03 15:50:00",181.009994,181.190002,180.970001,181.119995,640179
1641225300,0,"2022-01-03 15:55:00",181.059997,181.130004,180.914993,180.960006,696994
1641225600,0,"2022-01-03 16:00:00",180.949996,181.009902,180.470001,180.61,824994
1641225900,0,"2022-01-03 16:05:00",180.61,180.899993,180.479995,180.628494,719564
1641226200,0,"2022-01-03 16:10:00",180.629196,180.919998,180.389999,180.820007,818197
1641226500,0,"2022-01-03 16:15:00",180.820007,181.014999,180.699996,180.960006,705831
1641226800,0,"2022-01-03 16:20:00",180.960006,181.36,180.927093,181.335006,1233886
1641227100,0,"2022-01-03 16:25:00",181.330093,181.770004,181.310104,181.749893,1812884
1641227400,0,"2022-01-03 16:30:00",181.75,181.770004,181.440002,181.479995,796499
1641227700,0,"2022-01-03 16:35:00",181.479995,181.5,181.139999,181.229995,921796
1641228000,0,"2022-01-03 16:40:00",181.229995,181.619995,181.169998,181.484405,923663
1641228300,0,"2022-01-03 16:45:00",181.480895,181.753005,181.380004,181.620193,698864
1641228600,0,"2022-01-03 16:50:00",181.619995,181.768493,181.460006,181.649902,803802
1641228900,0,"2022-01-03 16:55:00",181.641098,181.690002,181.350006,181.440002,571466
1641229200,0,"2022-01-03 17:00:00",181.384994,181.520004,181.254394,181.455001,662969
1641229500,0,"2022-01-03 17:05:00",181.458999,181.489303,181.210006,181.304992,534768
1641229800,0,"2022-01-03 17:10:00",181.308105,181.389999,181.074996,181.289993,522759
1641230100,0,"2022-01-03 17:15:00",181.285003,181.589996,181.285003,181.550094,740652
1641230400,0,"2022-01-03 17:20:00",181.559997,181.695007,181.505004,181.645401,558140
1641230700,0,"2022-01-03 17:25:00",181.649993,181.664993,181.5,181.600006,407774
1641231000,0,"2022-01-03 17:30:00",181.595001,181.660003,181.490005,181.658004,456162
1641231300,0,"2022-01-03 17:35:00",181.659896,181.830001,181.619995,181.809997,828629
1641231600,0,"2022-01-03 17:40:00",181.804992,182.167495,181.679992,182.020004,1772377
1641231900,0,"2022-01-03 17:45:00",182.020095,182.100006,181.914993,181.994995,696440
1641232200,0,"2022-01-03 17:50:00",181.990097,182.039993,181.699996,181.820007,581509
1641232500,0,"2022-01-03 17:55:00",181.820007,181.880004,181.649993,181.690002,458944
1641232800,0,"2022-01-03 18:00:00",181.690399,181.899993,181.639999,181.815002,503095
1641233100,0,"2022-01-03 18:05:00",181.820007,181.929992,181.770004,181.835006,432322
1641233400,0,"2022-01-03 18:10:00",181.832595,182.100006,181.729995,182.009994,752013
1641233700,0,"2022-01-03 18:15:00",182.009994,182.169998,181.960006,182.074996,569106
1641234000,0,"2022-01-03 18:20:00",182.070007,182.220001,182.070007,182.160003,693585
1641234300,0,"2022-01-03 18:25:00",182.160003,182.279006,182.139999,182.229705,663732
1641234600,0,"2022-01-03 18:30:00",182.225006,182.369995,182.210006,182.270004,811100
1641234900,0,"2022-01-03 18:35:00",182.270004,182.539993,182.235,182.449996,1231989
1641235200,0,"2022-01-03 18:40:00",182.445007,182.86,182.440002,182.830093,1679330
1641235500,0,"2022-01-03 18:45:00",182.835006,182.880004,182.541793,182.619995,1391117
1641235800,0,"2022-01-03 18:50:00",182.625,182.639999,182.410003,182.509994,978001
1641236100,0,"2022-01-03 18:55:00",182.514999,182.625,182.300003,182.365005,911772
1641236400,0,"2022-01-03 19:00:00",182.374206,182.464996,182.210006,182.25,799947
1641236700,0,"2022-01-03 19:05:00",182.253906,182.350006,182.010604,182.020004,992859
1641237000,0,"2022-01-03 19:10:00",182.009994,182.139999,182.009994,182.11,664457
1641237300,0,"2022-01-03 19:15:00",182.119903,182.309997,182.029998,182.171096,738761
1641237600,0,"2022-01-03 19:20:00",182.169998,182.179992,181.809997,181.839996,769321
1641237900,0,"2022-01-03 19:25:00",181.850006,181.968505,181.809997,181.865005,649975
1641238200,0,"2022-01-03 19:30:00",181.86,181.955001,181.660003,181.899993,814525
1641238500,0,"2022-01-03 19:35:00",181.899993,182.190002,181.880004,182.179992,707025
1641238800,0,"2022-01-03 19:40:00",182.179992,182.289993,182.101196,182.190002,866878
1641239100,0,"2022-01-03 19:45:00",182.199996,182.229995,181.990005,182.044998,621027
1641239400,0,"2022-01-03 19:50:00",182.0401,182.100006,182,182.065002,443079
1641239700,0,"2022-01-03 19:55:00",182.065002,182.070007,181.869995,181.880004,553710
1641240000,0,"2022-01-03 20:00:00",181.869995,182.039993,181.710006,181.910003,744878
