,Timestamp,Gmtoffset,Datetime,Open,High,Low,Close,Volume,price_in_10_days,target
0,1641220200,0,2022-01-03 14:30:00,177.830001,179.309997,177.710006,178.964996,4441780.0,180.710098,0
1,1641220500,0,2022-01-03 14:35:00,178.970001,180.399993,178.919998,180.330001,2482136.0,180.839996,0
2,1641220800,0,2022-01-03 14:40:00,180.330001,180.839996,180.210006,180.595001,2219825.0,180.969894,0
3,1641221100,0,2022-01-03 14:45:00,180.600006,180.75,179.470001,179.940002,2018163.0,180.910003,0
4,1641221400,0,2022-01-03 14:50:00,179.929992,180.229904,179.399993,180.210006,1944837.0,180.779998,0
5,1641221700,0,2022-01-03 14:55:00,180.219894,180.929992,179.919998,180.449996,2401204.0,181.020004,0
6,1641222000,0,2022-01-03 15:00:00,180.460006,181.350006,180.271301,181.080001,2484522.0,181.119995,0
7,1641222300,0,2022-01-03 15:05:00,181.080001,181.419998,180.830001,181.179992,1867915.0,180.960006,0
8,1641222600,0,2022-01-03 15:10:00,181.199996,181.429992,180.919998,181.229904,1718700.0,180.61,0
9,1641222900,0,2022-01-03 15:15:00,181.225006,181.259994,180.770004,180.835006,1220626.0,180.628494,0
10,1641223200,0,2022-01-03 15:20:00,180.830001,180.830001,180.490005,180.710098,1260993.0,180.820007,0
11,1641223500,0,2022-01-03 15:25:00,180.697998,181.039993,180.550003,180.839996,1109618.0,180.960006,0
12,1641223800,0,2022-01-03 15:30:00,180.850006,181.119995,180.570007,180.969894,1452776.0,181.335006,0
13,1641224100,0,2022-01-03 15:35:00,180.960006,181.080001,180.800003,180.910003,720351.0,181.749893,0
14,1641224400,0,2022-01-03 15:40:00,180.896499,181.210006,180.679992,180.779998,1487222.0,181.479995,0
15,1641224700,0,2022-01-03 15:45:00,180.774993,181.230102,180.759994,181.020004,863664.0,181.229995,0
16,1641225000,0,2022-01-03 15:50:00,181.009994,181.190002,180.970001,181.119995,640179.0,181.484405,0
17,1641225300,0,2022-01-03 15:55:00,181.059997,181.130004,180.914993,180.960006,696994.0,181.620193,0
18,1641225600,0,2022-01-03 16:00:00,180.949996,181.009902,180.470001,180.61,824994.0,181.649902,0
19,1641225900,0,2022-01-03 16:05:00,180.61,180.899993,180.479995,180.628494,719564.0,181.440002,0
20,1641226200,0,2022-01-03 16:10:00,180.629196,180.919998,180.389999,180.820007,818197.0,181.455001,0
