,Portfolio,Cash
0,1000000.0,1000000.0
1,1000000.0,1000000.0
2,1000000.0,1000000.0
3,1000000.0,1000000.0
4,1000000.0,1000000.0
5,1000000.0,1000000.0
6,1000000.0,1000000.0
7,1000000.0,1000000.0
8,1000000.0,1000000.0
9,1000000.0,1000000.0
10,1000000.0,1000000.0
11,1000000.0,1000000.0
12,1000000.0,1000000.0
13,1000000.0,1000000.0
14,1000000.0,1000000.0
15,1000000.0,1000000.0
16,1000000.0,1000000.0
17,1000000.0,1000000.0
18,1000000.0,1000000.0
19,1000000.0,1000000.0
20,1000000.0,1000000.0
21,1000000.0,1000000.0
22,1000000.0,1000000.0
23,1000000.0,1000000.0
24,1000000.0,1000000.0
25,1000000.0,1000000.0
26,1000000.0,1000000.0
27,1000000.0,1000000.0
28,1000000.0,1000000.0
29,1000000.0,1000000.0
30,1000000.0,1000000.0
31,1000000.0,1000000.0
32,1000000.0,1000000.0
33,1000000.0,1000000.0
34,1000000.0,1000000.0
35,1000000.0,1000000.0
36,1000000.0,1000000.0
37,1000000.0,1000000.0
38,1000000.0,1000000.0
39,1000000.0,1000000.0
40,1000000.0,1000000.0
41,1000000.0,1000000.0
42,1000000.0,1000000.0
43,1000000.0,1000000.0
44,1000000.0,1000000.0
45,1000000.0,1000000.0
46,1000000.0,1000000.0
47,1000000.0,1000000.0
48,1000000.0,1000000.0
49,1000000.0,1000000.0
50,1000000.0,1000000.0
51,1000000.0,1000000.0
52,1000000.0,1000000.0
53,1000000.0,1000000.0
54,1000000.0,1000000.0
55,1000000.0,1000000.0
56,1000000.0,1000000.0
57,1000000.0,1000000.0
58,1000000.0,1000000.0
59,1000000.0,1000000.0
60,1000000.0,1000000.0
61,1000000.0,1000000.0
62,1000000.0,1000000.0
63,1000000.0,1000000.0
64,1160194.6622566676,576586.3422586676
65,1160194.6622566676,576586.3422586676
66,1160194.6622566676,576586.3422586676
67,1160194.6622566676,576586.3422586676
68,1160194.6622566676,576586.3422586676
69,1160194.6622566676,576586.3422586676
70,1160194.6622566676,576586.3422586676
71,1160194.6622566676,576586.3422586676
72,1160194.6622566676,576586.3422586676
73,1160194.6622566676,576586.3422586676
74,1160194.6622566676,576586.3422586676
75,1160194.6622566676,576586.3422586676
76,1160194.6622566676,576586.3422586676
77,1160194.6622566676,576586.3422586676
78,1160194.6622566676,576586.3422586676
79,1160194.6622566676,576586.3422586676
80,1160194.6622566676,576586.3422586676
81,1160194.6622566676,576586.3422586676
82,1160194.6622566676,576586.3422586676
83,1160194.6622566676,576586.3422586676
84,1160194.6622566676,576586.3422586676
85,1160194.6622566676,576586.3422586676
86,1160194.6622566676,576586.3422586676
87,1160194.6622566676,576586.3422586676
88,1160194.6622566676,576586.3422586676
89,1160194.6622566676,576586.3422586676
90,1160194.6622566676,576586.3422586676
91,1160194.6622566676,576586.3422586676
92,1160194.6622566676,576586.3422586676
93,1160194.6622566676,576586.3422586676
94,1160194.6622566676,576586.3422586676
95,1160194.6622566676,576586.3422586676
96,1160194.6622566676,576586.3422586676
97,1160194.6622566676,576586.3422586676
98,1160194.6622566676,576586.3422586676
99,1160194.6622566676,576586.3422586676
100,1160194.6622566676,576586.3422586676
101,1160194.6622566676,576586.3422586676
102,1160194.6622566676,576586.3422586676
103,1160194.6622566676,576586.3422586676
104,1160194.6622566676,576586.3422586676
105,1160194.6622566676,576586.3422586676
106,1160194.6622566676,576586.3422586676
107,1160194.6622566676,576586.3422586676
108,1160194.6622566676,576586.3422586676
109,1160194.6622566676,576586.3422586676
110,1160194.6622566676,576586.3422586676
111,1160194.6622566676,576586.3422586676
112,1160194.6622566676,576586.3422586676
113,1160194.6622566676,576586.3422586676
114,1160194.6622566676,576586.3422586676
115,1160194.6622566676,576586.3422586676
116,1160194.6622566676,576586.3422586676
117,1160194.6622566676,576586.3422586676
118,1160194.6622566676,576586.3422586676
119,1160194.6622566676,576586.3422586676
120,1160194.6622566676,576586.3422586676
121,1160194.6622566676,576586.3422586676
122,1160194.6622566676,576586.3422586676
123,1160194.6622566676,576586.3422586676
124,1160194.6622566676,576586.3422586676
125,1160194.6622566676,576586.3422586676
126,1160194.6622566676,576586.3422586676
127,1160194.6622566676,576586.3422586676
128,1160194.6622566676,576586.3422586676
129,1160194.6622566676,576586.3422586676
130,1160194.6622566676,576586.3422586676
131,1160194.6622566676,576586.3422586676
132,1160194.6622566676,576586.3422586676
133,1160194.6622566676,576586.3422586676
134,1160194.6622566676,576586.3422586676
135,1160194.6622566676,576586.3422586676
136,1160194.6622566676,576586.3422586676
137,1160194.6622566676,576586.3422586676
138,1160194.6622566676,576586.3422586676
139,1160194.6622566676,576586.3422586676
140,1160194.6622566676,576586.3422586676
141,1160194.6622566676,576586.3422586676
142,1160194.6622566676,576586.3422586676
143,1160194.6622566676,576586.3422586676
144,1160194.6622566676,576586.3422586676
145,1160194.6622566676,576586.3422586676
146,1160194.6622566676,576586.3422586676
147,1160194.6622566676,576586.3422586676
148,1160194.6622566676,576586.3422586676
149,1160194.6622566676,576586.3422586676
150,1160194.6622566676,576586.3422586676
151,1160194.6622566676,576586.3422586676
152,1160194.6622566676,576586.3422586676
153,1160194.6622566676,576586.3422586676
154,1160194.6622566676,576586.3422586676
155,1160194.6622566676,576586.3422586676
156,1160194.6622566676,576586.3422586676
157,1160194.6622566676,576586.3422586676
158,1160194.6622566676,576586.3422586676
159,1160194.6622566676,576586.3422586676
160,1160194.6622566676,576586.3422586676
161,1160194.6622566676,576586.3422586676
162,1160194.6622566676,576586.3422586676
163,1160194.6622566676,576586.3422586676
164,1160194.6622566676,576586.3422586676
165,1160194.6622566676,576586.3422586676
166,1160194.6622566676,576586.3422586676
167,1160194.6622566676,576586.3422586676
168,1160194.6622566676,576586.3422586676
169,1160194.6622566676,576586.3422586676
170,1160194.6622566676,576586.3422586676
171,1160194.6622566676,576586.3422586676
172,1160194.6622566676,576586.3422586676
173,1160194.6622566676,576586.3422586676
174,1160194.6622566676,576586.3422586676
175,1160194.6622566676,576586.3422586676
176,1160194.6622566676,576586.3422586676
177,1160194.6622566676,576586.3422586676
178,1160194.6622566676,576586.3422586676
179,1160194.6622566676,576586.3422586676
180,1160194.6622566676,576586.3422586676
181,1160194.6622566676,576586.3422586676
182,1160194.6622566676,576586.3422586676
183,1160194.6622566676,576586.3422586676
184,1160194.6622566676,576586.3422586676
185,1160194.6622566676,576586.3422586676
186,1160194.6622566676,576586.3422586676
187,1160194.6622566676,576586.3422586676
188,1160194.6622566676,576586.3422586676
189,1160194.6622566676,576586.3422586676
190,1160194.6622566676,576586.3422586676
191,1160194.6622566676,576586.3422586676
192,1160194.6622566676,576586.3422586676
193,1160194.6622566676,576586.3422586676
194,1160194.6622566676,576586.3422586676
195,1160194.6622566676,576586.3422586676
196,1160194.6622566676,576586.3422586676
197,1160194.6622566676,576586.3422586676
198,1160194.6622566676,576586.3422586676
199,1160194.6622566676,576586.3422586676
200,1160194.6622566676,576586.3422586676
201,1160194.6622566676,576586.3422586676
202,1160194.6622566676,576586.3422586676
203,1160194.6622566676,576586.3422586676
204,1160194.6622566676,576586.3422586676
205,1160194.6622566676,576586.3422586676
206,1160194.6622566676,576586.3422586676
207,1160194.6622566676,576586.3422586676
208,1160194.6622566676,576586.3422586676
209,1160194.6622566676,576586.3422586676
210,1160194.6622566676,576586.3422586676
211,1160194.6622566676,576586.3422586676
212,1160194.6622566676,576586.3422586676
213,1160194.6622566676,576586.3422586676
214,1160194.6622566676,576586.3422586676
215,1160194.6622566676,576586.3422586676
216,1160194.6622566676,576586.3422586676
217,1160194.6622566676,576586.3422586676
218,1160194.6622566676,576586.3422586676
219,1160194.6622566676,576586.3422586676
220,1160194.6622566676,576586.3422586676
221,1160194.6622566676,576586.3422586676
222,1160194.6622566676,576586.3422586676
223,1160194.6622566676,576586.3422586676
224,1160194.6622566676,576586.3422586676
225,1160194.6622566676,576586.3422586676
226,1160194.6622566676,576586.3422586676
227,1160194.6622566676,576586.3422586676
228,1160194.6622566676,576586.3422586676
229,1160194.6622566676,576586.3422586676
230,1160194.6622566676,576586.3422586676
231,1160194.6622566676,576586.3422586676
232,1160194.6622566676,576586.3422586676
233,1160194.6622566676,576586.3422586676
234,1160194.6622566676,576586.3422586676
235,1160194.6622566676,576586.3422586676
236,1160194.6622566676,576586.3422586676
237,1160194.6622566676,576586.3422586676
238,1160194.6622566676,576586.3422586676
239,1160194.6622566676,576586.3422586676
240,1160194.6622566676,576586.3422586676
