,gain,strategy
0,1018523.11926949,"['svc', 'xgboost', 'lr']"
1,1070253.3056418328,"['svc', 'xgbost']"
2,1014226.6880805775,"['svc', 'lr']"
3,1010218.2706374101,"['xgboost', 'lr']"
4,1070253.3056418328,['svc']
5,1043405.3256583378,['xgboost']
6,1014226.6880805775,['lr']
